	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
	N31103	Caveolin 1, caveolae protein, 22kDa	Hs.74034	CAV1	7	7q31.1	The scaffolding protein encoded by this gene is the main component of the caveolae plasma membranes found in most cell types. The protein links integrin subunits to the tyrosine kinase FYN, an initiating step in coupling integrins to the Ras-ERK pathway and promoting cell cycle progression. The gene is a tumor suppressor gene candidate and a negative regulator of the Ras-p42/44 MAP kinase cascade. CAV1 and CAV2 are located next to each other on chromosome 7 and express colocalizing proteins that form a stable hetero-oligomeric complex. By using alternative initiation codons in the same reading frame, two isoforms (alpha and beta) are encoded by a single transcript from this gene.	biological_process unknown - caveolar membrane - integral to plasma membrane - structural molecule activity	0.109531538	0.441259613	0.303876043	0.284889065
	H10327	Programmed cell death 5	Hs.443831	PDCD5	5	19q12-q13.1	This gene encodes a protein expressed in tumor cells during apoptosis independent of the apoptosis-inducing stimuli. Prior to apoptosis induction, this gene product is distributed in both the nucleus and cytoplasm. Once apoptosis is induced, the level of this protein increases and by relocation from the cytoplasm, it accumulates in the nucleus. Although its exact function is not defined, this protein is thought to play an early and universal role in apoptosis.	apoptosis - induction of apoptosis	0.116251854	0.28932179	0.449121524	0.284898389
	W31173	isoleucyl-tRNA synthetase 2, mitochondrial	Hs.262823	IARS2	-	-	-	-	0.160113817	0.350662468	0.345429073	0.285401786
	H79993	Hypothetical LOC340171	Hs.386402	-	6	6q14.1	-	-	0.14544945	0.356924332	0.354718032	0.285697271
	R76155	Dedicator of cytokinesis 7	Hs.538059	DOCK7	1	1p31.3	-	GTP binding - GTPase binding - guanyl-nucleotide exchange factor activity	0.250028647	0.110047143	0.499286569	0.28645412
	BM009874	Ribosomal protein L21	Hs.381123	RPL21	13	13q12.2	Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L21E family of ribosomal proteins. It is located in the cytoplasm. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome.	RNA binding - cytosolic large ribosomal subunit (sensu Eukaryota) - protein biosynthesis - ribosome - structural constituent of ribosome	0.144187836	0.35892739	0.356911756	0.286675661
	BQ073413	Nitrilase 1	Hs.146406	NIT1	1	1q23.3	-	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds - nitrilase activity - nitrogen compound metabolism	0.209131062	0.235696659	0.415511398	0.286779706
	N75897	Hypothetical gene supported by BC052606	Hs.262480	-	17	17p13.1	-	-	0.202445847	0.234811541	0.423852793	0.287036727
	H88208	Suppressor of var1, 3-like 1 (S. cerevisiae)	Hs.106469	SUPV3L1	10	10q22.1	-	ATP binding - ATP-dependent helicase activity - RNA binding - RNA binding - hydrolase activity - mitochondrion	0.286747442	0.208018283	0.366593964	0.287119896
	W52999	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	Hs.438489	ATP5S	14	14q21.3	This gene encodes a subunit of mitochondrial ATP synthase. Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. ATP synthase is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, comprising the proton channel. This gene encodes the subunit s, also known as factor B, of the proton channel. This subunit is necessary for the energy transduction activity of the ATP synthase complexes. Alternatively spliced transcript variants encoding different isoforms have been identified.	hydrogen ion transporter activity|hydrogen ion transporter activity|ion transport|mitochondrion|proton transport|proton transport	0.168748395	0.199048516	0.4939815	0.28725947
	W32115	Cryptochrome 1 (photolyase-like)	Hs.151573	CRY1	12	12q23-q24.1	-	DNA binding|DNA photolyase activity|DNA repair|G-protein coupled photoreceptor activity|circadian rhythm|lyase activity|mitochondrion|visual perception	0.274521068	0.104966008	0.482526345	0.287337807
	AA131813	Homo sapiens transcribed sequences	-	-	-	-	-	-	0.403218637	0.142168322	0.318036679	0.287807879
	W79564	S100 calcium binding protein A8 (calgranulin A)	Hs.416073	S100A8	1	1q21.3	The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21. This protein may function in the inhibition of casein kinase and as a cytokine. Altered expression of this protein is associated with the disease cystic fibrosis.	calcium ion binding|extracellular space|inflammatory response	0.296364884	0.19833279	0.368792063	0.287829912
	AA195575	Hyaluronan synthase 3	Hs.592069	HAS3	16	16q22.1	The protein encoded by this gene is involved in the synthesis of the unbranched glycosaminoglycan hyaluronan, or hyaluronic acid, which is a major constituent of the extracellular matrix. This gene is a member of the NODC/HAS gene family. Compared to the proteins encoded by other members of this gene family, this protein appears to be more of a regulator of hyaluronan synthesis. Two transcript variants encoding different isoforms have been found for this gene.	Golgi apparatus - carbohydrate metabolism - hyaluronan synthase activity - integral to plasma membrane - transferase activity, transferring glycosyl groups	0.241913451	0.126465266	0.496117683	0.288165467
	H04204	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	Hs.644105	CD24	Y	6q21	-	humoral immune response - plasma membrane	0.251847629	0.284263599	0.328444232	0.288185153
	W20171	Phosphorylase kinase, alpha 1 (muscle)	Hs.201379	PHKA1	X	Xq12-q13	-	calmodulin binding|carbohydrate metabolism|generation of precursor metabolites and energy|glycogen catabolism|muscle development|phosphorylase kinase activity|phosphorylase kinase regulator activity	0.094627067	0.422716565	0.349105552	0.288816395
	AA127792	Guanylate binding protein 5	Hs.513726	GBP5	1	1p22.2	-	GTP binding - GTPase activity - immune response	0.192733112	0.274698793	0.399477756	0.288969887
	BG490288	Poly(A) binding protein, cytoplasmic 4 (inducible form)	Hs.169900	PABPC4	1	1p34.2	Poly(A)-binding proteins (PABPs) bind to the poly(A) tail present at the 3-prime ends of most eukaryotic mRNAs. PABPC4 or IPABP (inducible PABP) was isolated as an activation-induced T-cell mRNA encoding a protein. Activation of T cells increased PABPC4 mRNA levels in T cells approximately 5-fold. PABPC4 contains 4 RNA-binding domains and proline-rich C terminus. PABPC4 is localized primarily to the cytoplasm. It is suggested that PABPC4 might be necessary for regulation of stability of labile mRNA species in activated T cells. PABPC4 was also identified as an antigen, APP1 (activated-platelet protein-1), expressed on thrombin-activated rabbit platelets. PABPC4 may also be involved in the regulation of protein translation in platelets and megakaryocytes or may participate in the binding or stabilization of polyadenylates in platelet dense granules.	RNA binding - RNA catabolism - RNA processing - blood coagulation - cytoplasm - poly(A) binding - protein biosynthesis - response to pest, pathogen or parasite	0.162901487	0.421959443	0.284662745	0.289841225
	AA155669	Mitochondrial ribosomal protein S9	Hs.590900	MRPS9	2	2q12.1	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein.	protein biosynthesis - ribosome - structural constituent of ribosome	0.258252506	0.156053974	0.455987666	0.290098049
	AA099691	Homo sapiens transcribed sequences	-	-	-	-	-	-	0.27858706	0.203069671	0.388910226	0.290188986
	BQ010054	Sialic acid acetylesterase	Hs.10056	SIAE	11	11q24	-	-	0.242672945	0.183585383	0.445186534	0.290481621
	R25304	Myelin transcription factor 1-like	Hs.434418	MYT1L	2	-	-	-	0.334197024	0.101842172	0.435741603	0.2905936
	AA130223	Ubiquitin specific protease 39	Hs.654745	USP39	2	2p11.2	-	RNA splicing - cysteine-type endopeptidase activity - mRNA processing - nucleus - spliceosome assembly - ubiquitin cycle - ubiquitin thiolesterase activity - ubiquitin-dependent protein catabolism	0.239019886	0.396691288	0.237580041	0.291097072
	N45651	F-box protein, helicase, 18	Hs.498543	FBXO18	10	10p15.1	This gene encodes a member of the F-box protein family, members of which are characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into three classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbx class. It contains an F-box motif and seven conserved helicase motifs, and has both DNA-dependent ATPase and DNA unwinding activities. Alternatively spliced transcript variants encoding distinct isoforms have been identified for this gene.	ATP binding - DNA binding - helicase activity - hydrolase activity - nucleus - ubiquitin cycle	0.151511818	0.350118774	0.372562743	0.291397778
	BM809132	General transcription factor IIA, 2, 12kDa	Hs.512934	GTF2A2	15	15q22.2	-	RNA polymerase II transcription factor activity - nucleus - regulation of transcription, DNA-dependent - transcription - transcription factor TFIIA complex - transcription factor activity - transcription initiation from RNA polymerase II promoter	0.41600185	0.160326914	0.299160417	0.291829727
	AA147698	SET domain containing 2	Hs.517941	SETD2	3	3p21.31	Huntingtons disease (HD), a neurodegenerative disorder characterized by loss of striatal neurons, is caused by an expansion of a polyglutamine tract in the HD protein huntingtin. This gene encodes a protein belonging to a class of huntingtin interacting proteins characterized by WW motifs. Two transcripts encoding different isoforms have been completely described.	iron ion binding - metabolism - oxidoreductase activity	0.256981284	0.271939234	0.349302226	0.292740915
	AA040364	Hypothetical protein LOC284513	Hs.121406	LOC284513	1	1p36.13	-	-	0.198211798	0.283532063	0.396788611	0.292844157
	N52313	Matrix metalloproteinase 15 (membrane-inserted)	Hs.80343	MMP15	16	16q13-q21	Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMPs are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. However, the protein encoded by this gene is a member of the membrane-type MMP (MT-MMP) subfamily; each member of this subfamily contains a potential transmembrane domain suggesting that these proteins are expressed at the cell surface rather than secreted.	enzyme activator activity - extracellular matrix (sensu Metazoa) - integral to plasma membrane - metalloendopeptidase activity - protein modification - proteolysis and peptidolysis - zinc ion binding	0.239669994	0.248289737	0.392679281	0.293546337
