Curated Gene Symbol	FeatureNumber	GeneName	siCTNNB1	siBRG1	siP300	siMLLT10	Description
BTNL3	37310	BTNL3	3.698	--	--	--	butyrophilin-like 3 (BTNL3), mRNA [NM_197975]
MUC17	12676	MUC17	3.798	--	--	--	mucin 17, cell surface associated (MUC17), mRNA [NM_001040105]
LBH	5733	LBH	3.833	0.578	0.487	-0.031	limb bud and heart development homolog (mouse) (LBH), mRNA [NM_030915]
MALL	37592	MALL	4.208	-1.281	-1.409	0.279	mal, T-cell differentiation protein-like (MALL), mRNA [NM_005434]
GCNT3	18578	GCNT3	4.239	-1.191	-2.445	1.381	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N- acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.150) (Core 2/core 4 beta-1,6-N-acetylglucosaminyltransferase) (C2/4GnT) (C2GnT- mucin type) (C2GnT-M) (hC2GnT-M). [Source:Uniprot/SWISSPRO
VILL	38972	VILL	4.247	-0.048	-0.897	1.005	villin-like (VILL), mRNA [NM_015873]
SEMG1	8064	SEMG1	4.261	--	--	--	semenogelin I (SEMG1), transcript variant 1, mRNA [NM_003007]
CAPN8	5832	CAPN8	4.272	--	--	--	Calpain 8 (NCL-2). [Source:Uniprot/SPTREMBL;Acc:A2CEN9] [ENST00000366872]
	31529	THC2719076	4.275	0.945	0.66	0.629	Unknown
TFF2	38468	TFF2	4.353	-0.797	-1.286	0.332	trefoil factor 2 (spasmolytic protein 1) (TFF2), mRNA [NM_005423]
DPCR1	15226	DPCR1	4.445	--	--	--	diffuse panbronchiolitis critical region 1 (DPCR1), mRNA [NM_080870]
IL1R2	2471	IL1R2	4.472	--	--	--	interleukin 1 receptor, type II (IL1R2), transcript variant 1, mRNA [NM_004633]
PLAC8	549	PLAC8	4.527	0.994	-0.475	0.519	placenta-specific 8 (PLAC8), mRNA [NM_016619]
DHRS9	19820	DHRS9	4.535	-0.558	-0.288	-0.468	dehydrogenase/reductase (SDR family) member 9 (DHRS9), transcript variant 1, mRNA [NM_005771]
PLAC8	32732	PLAC8	4.55	0.835	-0.305	0.244	placenta-specific 8 (PLAC8), mRNA [NM_016619]
TM4SF4	8748	TM4SF4	4.638	--	--	--	transmembrane 4 L six family member 4 (TM4SF4), mRNA [NM_004617]
CYP3A7	2423	CYP3A7	4.65	1.09	0.516	1.508	cytochrome P450, family 3, subfamily A, polypeptide 7 (CYP3A7), mRNA [NM_000765]
BTNL8	1419	BTNL8	4.671	--	--	--	butyrophilin-like 8 (BTNL8), transcript variant 2, mRNA [NM_001040462]
BTBD16	29733	BTBD16	4.682	0.618	0.432	0.793	BTB (POZ) domain containing 16 (BTBD16), mRNA [NM_144587]
KRT20	38078	KRT20	4.782	-2.211	--	0.417	keratin 20 (KRT20), mRNA [NM_019010]
FAM101A	18444	FAM101A	4.834	-0.15	-0.199	1.113	family with sequence similarity 101, member A (FAM101A), mRNA [NM_181709]
EMP1	27090	EMP1	4.875	0.142	-0.543	1.191	epithelial membrane protein 1 (EMP1), mRNA [NM_001423]
PTPRH	3131	PTPRH	4.878	0.676	0.727	0.612	protein tyrosine phosphatase, receptor type, H (PTPRH), mRNA [NM_002842]
	27988	A_32_P218707	4.936	-1.529	-1.648	0.272	Unknown
PSCA	35807	PSCA	4.978	0.145	-0.023	0.36	prostate stem cell antigen (PSCA), mRNA [NM_005672]
FABP1	1602	FABP1	5.065	-1.028	-1.885	0.67	fatty acid binding protein 1, liver (FABP1), mRNA [NM_001443]
	12733	A_24_P334208	5.097	-1.131	-2.054	0.638	Unknown
AKR1B10	28237	AKR1B10	5.136	-1.326	-1.686	1.004	aldo-keto reductase family 1, member B10 (aldose reductase) (AKR1B10), mRNA [NM_020299]
AKR1B10	14611	AKR1B10	5.231	-1.253	-2.031	1.033	aldo-keto reductase family 1, member B10 (aldose reductase) (AKR1B10), mRNA [NM_020299]
IL1R2	31671	IL1R2	5.27	-0.607	-2.239	0.419	interleukin 1 receptor, type II (IL1R2), transcript variant 1, mRNA [NM_004633]
	31816	LOC340888	5.571	-0.672	-1.882	1.068	PREDICTED: Homo sapiens misc_RNA (LOC340888), miscRNA [XR_018726]
