miRNA	Target symbol	Synonyms	Target description	chromosome	Entrez Gene
hsa-miR-7	OXR1	FLJ10125|FLJ38829|FLJ41673|FLJ42450|FLJ45656|Nbla00307	oxidation resistance 1	8	55074
hsa-miR-7	LRRC59	FLJ21675|PRO1855	leucine rich repeat containing 59	17	55379
hsa-miR-7	AMBRA1	FLJ20294|KIAA1736|MGC33725|WDR94	autophagy/beclin-1 regulator 1	11	55626
hsa-miR-7	ZNF395	DKFZp434K1210|HDBP2|PBF|PRF-1|PRF1|Si-1-8-14	zinc finger protein 395	8	55893
hsa-miR-7	C20orf24	PNAS-11|RIP5	chromosome 20 open reading frame 24	20	55969
hsa-miR-7	RNF20	BRE1A|FLJ11189|FLJ20382|KIAA2779|MGC129667|MGC129668	ring finger protein 20	9	56254
hsa-miR-7	POLE4	p12	polymerase (DNA-directed), epsilon 4 (p12 subunit)	2	56655
hsa-miR-7	PTK2	FADK|FAK|FAK1|pp125FAK	PTK2 protein tyrosine kinase 2	8	5747
hsa-miR-7	NLGN2	KIAA1366	neuroligin 2	17	57555
hsa-miR-7	PURB	MGC126784|MGC126786|PURBETA	purine-rich element binding protein B	7	5814
hsa-miR-7	RAF1	CRAF|NS5|Raf-1|c-Raf	v-raf-1 murine leukemia viral oncogene homolog 1	3	5894
hsa-miR-7	RB1	OSRC|RB|p105-Rb|pRb|pp110	retinoblastoma 1 (including osteosarcoma)	13	5925
hsa-miR-7	RPS6KB1	PS6K|S6K|S6K1|STK14A|p70(S6K)-alpha|p70-S6K|p70-alpha	ribosomal protein S6 kinase, 70kDa, polypeptide 1	17	6198
hsa-miR-7	SKP1	EMC19|MGC34403|OCP-II|OCP2|SKP1A|TCEB1L|p19A	S-phase kinase-associated protein 1	5	6500
hsa-miR-7	SNCA	MGC110988|NACP|PARK1|PARK4|PD1	synuclein, alpha (non A4 component of amyloid precursor)	4	6622
hsa-miR-7	NR1H2	LXR-b|LXRB|NER|NER-I|RIP15|UNR	nuclear receptor subfamily 1, group H, member 2	19	7376
hsa-miR-7	VDAC1	MGC111064|PORIN|PORIN-31-HL	voltage-dependent anion channel 1	5	7416
hsa-miR-7	VDAC3	HD-VDAC3	voltage-dependent anion channel 3	8	7419
hsa-miR-7	MAPKAP1	JC310|MGC2745|MIP1|SIN1|SIN1b|SIN1g	mitogen-activated protein kinase associated protein 1	9	79109
hsa-miR-7	PHF17	FLJ22479|JADE1|KIAA1807	PHD finger protein 17	4	79960
hsa-miR-7	SLC25A16	D10S105E|GDA|GDC|HGT.1|MGC39851|ML7|hML7	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	10	8034
hsa-miR-7	OGT	FLJ23071|HRNT1|MGC22921|O-GLCNAC	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	X	8473
hsa-miR-7	FAM83A	BJ-TSA-9|MGC14128	family with sequence similarity 83, member A	8	84985
hsa-miR-7	CGGBP1	CGGBP|p20-CGGBP	CGG triplet repeat binding protein 1	3	8545
hsa-miR-7	MKNK1	MNK1	MAP kinase interacting serine/threonine kinase 1	1	8569
hsa-miR-7	IRS2		insulin receptor substrate 2	13	8660
hsa-miR-7	GAL3ST3	GAL3ST-3|GAL3ST2|MGC142112|MGC142114	galactose-3-O-sulfotransferase 3	11	89792
hsa-miR-7	BOC		Boc homolog (mouse)	3	91653
hsa-miR-7	MOBKL1A	MATS2|MGC33910|MOB4A|Mob1B	MOB1, Mps One Binder kinase activator-like 1A (yeast)	4	92597
hsa-miR-7	ZBTB22	BING1|ZBTB22A|ZNF297|ZNF297A|fru|fruitless	zinc finger and BTB domain containing 22	6	9278
hsa-miR-7	C5orf13	D4S114|P311|PRO1873|PTZ17	chromosome 5 open reading frame 13	5	9315
hsa-miR-7	CNOT8	CAF1|CALIF|POP2|hCAF1	CCR4-NOT transcription complex, subunit 8	5	9337
hsa-miR-7	VPS26A	FLJ12930|HB58|Hbeta58|PEP8A|VPS26	vacuolar protein sorting 26 homolog A (S. pombe)	10	9559
hsa-miR-7	RNF144A	KIAA0161|RNF144|UBCE7IP4	ring finger protein 144A	2	9781
hsa-miR-7	SPATA2	FLJ13167|KIAA0757|PD1|tamo	spermatogenesis associated 2	20	9825
hsa-miR-7	G3BP2		GTPase activating protein (SH3 domain) binding protein 2	4	9908
hsa-miR-7	PAN2	FLJ39360|KIAA0710|USP52|hPAN2	PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae)	12	9924
hsa-miR-7|hsa-miR-195	WAPAL	FOE|KIAA0261|WAPL	wings apart-like homolog (Drosophila)	10	23063
hsa-miR-7|hsa-miR-195	LPHN2	CIRL2|CL2|LEC1|LPHH1	latrophilin 2	1	23266
hsa-miR-7|hsa-miR-195	SLC4A4	DKFZp781H1314|HNBC1|KNBC|NBC1|NBC2|SLC4A5|hhNMC|pNBC	solute carrier family 4, sodium bicarbonate cotransporter, member 4	4	8671
hsa-miR-7|hsa-miR-195|hsa-miR-30d	CCNT2	FLJ90560|MGC134840	cyclin T2	2	905
hsa-miR-7|hsa-miR-30d	SEC24A		SEC24 related gene family, member A (S. cerevisiae)	5	10802
hsa-miR-7|hsa-miR-30d	CCDC43	FLJ31795	coiled-coil domain containing 43	17	124808
hsa-miR-7|hsa-miR-30d	CLSTN1	ALC-ALPHA|CSTN1|FLJ32258|KIAA0911|PIK3CD|XB31alpha|alcalpha1|alcalpha2	calsyntenin 1	1	22883
hsa-miR-7|hsa-miR-30d	TNRC6A	CAGH26|DKFZp666E117|FLJ22043|GW1|GW182|KIAA1460|MGC75384|TNRC6	trinucleotide repeat containing 6A	16	27327
hsa-miR-7|hsa-miR-30d	ATP2B2	PMCA2|PMCA2a|PMCA2i	ATPase, Ca++ transporting, plasma membrane 2	3	491
hsa-miR-7|hsa-miR-30d	ATP2B4	ATP2B2|DKFZp686G08106|DKFZp686M088|MXRA1|PMCA4|PMCA4b|PMCA4x	ATPase, Ca++ transporting, plasma membrane 4	1	493
hsa-miR-7|hsa-miR-30d	PFN2	D3S1319E|PFL	profilin 2	3	5217
hsa-miR-7|hsa-miR-30d	PIK3CD	p110D	phosphoinositide-3-kinase, catalytic, delta polypeptide	1	5293
hsa-miR-7|hsa-miR-30d	DDIT4	Dig2|FLJ20500|REDD-1|REDD1|RP11-442H21.1|RTP801	DNA-damage-inducible transcript 4	10	54541
hsa-miR-7|hsa-miR-30d	ARID4A	RBBP1|RBP-1|RBP1	AT rich interactive domain 4A (RBP1-like)	14	5926
hsa-miR-7|hsa-miR-30d	CALU	FLJ90608	calumenin	7	813
hsa-miR-7|hsa-miR-30d	CAPZA1	CAPPA1|CAPZ|CAZ1	capping protein (actin filament) muscle Z-line, alpha 1	1	829
