ProbeSet	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	N2.C_Signal	N3.C_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
214343_s_at	MGC33190	0.024258	ataxin 7-like 1						0.59	1.51	-0.96	-0.96	-0.36
214395_x_at	PP3856	0.0337	similar to CG3714 gene product	pyridine nucleotide biosynthesis	nicotinate phosphoribosyltransferase activity				1.28	0.56	-0.87	-0.14	-0.92
214436_at	FBXL2	0.015016	F-box and leucine-rich repeat protein 2						0.34	0.82	-0.28	-0.43	-0.48
214445_at	ELL2	0.025568							0.65	1.51	-0.51	-0.55	-1.25
214486_x_at	CFLAR	0.04965	CASP8 and FADD-like apoptosis regulator	proteolysis and peptidolysis	signal transducer activity				0.37	1.34	-0.96	-0.21	-0.66
214500_at	H2AFY	0.00031	H2A histone family, member Y	nucleosome assembly	DNA binding	nucleosome			1.8	1.64	-1.1	-1.48	-1.24
214502_at	HIST1H2BJ	0.041717	histone 1, H2bj	nucleosome assembly	DNA binding	nucleosome			1.81	0.39	-0.52	-1.04	-1.01
214563_at	PCDHGC3	0.010613	protocadherin gamma subfamily C, 3	cell adhesion	calcium ion binding	membrane			2.26	1	-0.99	-1.36	-1.54
214581_x_at	TNFRSF21	0.014019	tumor necrosis factor receptor superfamily, member 21	apoptosis	receptor activity	integral to membrane			1.13	1.47	-1.16	-1.26	-0.27
214689_at	PLAC3	0.004374							1.26	2.29	-1.43	-1.56	-1.21
214693_x_at	LOC376745	0.022464	AG1						0.82	1.35	-0.83	-0.21	-1.19
214719_at	LOC283537	0.01914	hypothetical protein LOC283537						0.74	0.9	-0.73	-0.1	-0.82
214761_at	ZNF423	0.047657	zinc finger protein 423		nucleic acid binding	nucleus			1.57	0.58	-1.09	-0.1	-1.12
214841_at	FLJ38993	0.003096	hypothetical protein FLJ38993	intracellular signaling cascade		integral to membrane			1.09	1.71	-1.04	-0.83	-1.23
214875_x_at	APLP2	0.001567	amyloid beta (A4) precursor-like protein 2	G-protein coupled receptor protein signaling pathway	DNA binding	nucleus			1.53	1.97	-1.32	-1.6	-1
214895_s_at	ADAM10	0.027619	a disintegrin and metalloproteinase domain 10	embryonic development (sensu Mammalia)	metalloendopeptidase activity	nucleus	Hypertrophy_model	GENMAPP/KEGG	0.41	0.82	-0.18	-0.72	-0.35
214943_s_at	KIAA0117	0.002722							1.4	1.45	-0.67	-1.38	-1
214956_at	---	0.003385	Clone IMAGE 23915						1.19	0.93	-0.83	-0.93	-0.46
214964_at	---	0.001911	CDNA FLJ14343 fis, clone THYRO1000916						1.51	1.06	-1.03	-0.72	-1.02
214996_at	---	0.049206	MRNA full length insert cDNA clone EUROIMAGE 362780						0.6	0.57	-0.68	-0.56	0.08
215012_at	ZNF451	0.014433	zinc finger protein 451	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.58	1.02	-0.66	-0.24	-0.76
215049_x_at	CD163	0.02661	CD163 antigen		scavenger receptor activity	extracellular			0.95	2.37	-0.82	-0.98	-2.03
215077_at	COL3A1	0.02294					Inflammatory_Response_Pathway	GENMAPP/KEGG	0.5	0.63	-0.47	-0.06	-0.6
215086_at	IBTK	0.003319	inhibitor of Bruton agammaglobulinemia tyrosine kinase		protein binding				1.06	1.09	-0.49	-1.05	-0.7
215116_s_at	DNM1	0.042214	dynamin 1	receptor mediated endocytosis	motor activity	coated pit			1.09	0.4	-0.84	-0.13	-0.57
215142_at	HYPM	0.016841	chromosome X open reading frame 27						1.21	0.66	-0.26	-0.89	-0.81
215152_at	MYB	0.044598	v-myb myeloblastosis viral oncogene homolog (avian)	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.45	1.88	-0.41	-1.07	-1.22
215233_at	PTDSR	0.008886	phosphatidylserine receptor						1.25	1.59	-0.5	-1.5	-0.98
215235_at	SPTAN1	0.035343	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)		actin binding	membrane fraction			0.66	1.08	-0.17	-0.44	-1.13
215289_at	---	0.000394	Similar to R30217_1						1.1	1.18	-0.97	-0.72	-0.72
215296_at	CDC42BPA	0.042226	CDC42 binding protein kinase alpha (DMPK-like)	protein amino acid phosphorylation	protein serine/threonine kinase activity	membrane			0.8	1.37	-1.44	-0.56	-0.16
215313_x_at	HLA-A	0.04437	major histocompatibility complex, class I, A	immune response	MHC class I receptor activity	integral to plasma membrane	Proteasome_Degradation	GENMAPP/KEGG	1.51	1	0	-1.6	-0.88
215386_at	AUTS2	0.047898	autism susceptibility candidate 2						1.22	0.49	-0.2	-1.11	-0.44
215397_x_at	---	0.038395	MRNA; cDNA DKFZp686P02129 (from clone DKFZp686P02129)						2.01	0.47	-1.23	-0.6	-1.14
215408_at	---	0.000632	CDNA: FLJ21419 fis, clone COL04084						1.63	1.47	-1.12	-1.36	-0.91
215523_at	---	0.019229	Similar to dJ153G14.3 (novel C2H2 type Zinc Finger protein)						1.23	0.95	-0.15	-1.07	-1.01
215547_at	KIAA0669	0.004894							1	1.61	-0.67	-1.2	-0.97
215573_at	CAT	0.046273	catalase	electron transport	catalase activity	peroxisome	Tryptophan metabolism	GENMAPP/KEGG	0.56	0.18	-0.41	-0.07	-0.27
215619_at	---	0.047936							1.86	0.48	-1.25	-0.32	-1.11
215626_at	---	0.030429	CDNA FLJ11568 fis, clone HEMBA1003278						1.6	0.91	-1.11	-1.36	-0.13
215724_at	PLD1	0.009406	phospholipase D1, phophatidylcholine-specific	phospholipid metabolism	phospholipase D activity	endoplasmic reticulum			0.88	0.72	-0.75	-0.21	-0.67
215735_s_at	TSC2	0.025691	tuberous sclerosis 2	protein folding	GTPase activator activity	membrane fraction			0.59	0.71	-0.64	-0.64	-0.03
215783_s_at	ALPL	0.045727	alkaline phosphatase, liver/bone/kidney	ossification	magnesium ion binding	integral to membrane	gamma-Hexachlorocyclohexane degradation	GENMAPP/KEGG	0.92	1.59	-1.71	-0.49	-0.27
215810_x_at	D6S1101	0.027703	Dystonia musculorum of mouse, human homolog of						0.34	0.42	-0.01	-0.39	-0.36
215814_at	D6S1101	0.006413							2.26	1.14	-1.4	-1.11	-1.51
215900_at	---	0.009526	CDNA FLJ12269 fis, clone MAMMA1001635						0.62	0.94	-0.25	-0.68	-0.67
215926_x_at	SNAPC4	0.038718	small nuclear RNA activating complex, polypeptide 4, 190kDa	transcription from Pol II promoter	transcription factor activity	nucleus			1.22	0.27	-0.62	-0.6	-0.4
215965_at	---	0.001508							1.44	1.11	-1.12	-0.72	-0.9
216041_x_at	GRN	0.026593							0.84	2.87	-1.19	-1.46	-2.21
216096_s_at	NRXN1	0.038705	neurexin 1	cell adhesion	structural molecule activity	integral to membrane			1.21	0.8	-0.41	-0.23	-1.34
216135_at	MGC35048	0.001499	hypothetical protein MGC35048						1.74	1.2	-0.95	-1.08	-1.23
216165_at	---	0.025007	CDNA: FLJ21997 fis, clone HEP06590						0.57	1.77	-1.09	-0.58	-1
216176_at	---	0.047348							1.04	0.91	-1.38	-0.31	-0.18
216190_x_at	ITGB1	0.027686					Integrin-mediated_cell_adhesion	GENMAPP/KEGG	2.04	0.63	-0.68	-1.41	-1.06
216193_at	---	0.010617							0.98	1.79	-1.29	-1.2	-0.57
216221_s_at	PUM2	0.0465	pumilio homolog 2 (Drosophila)						0.93	0.54	-0.84	-0.67	0.03
216266_s_at	BIG1	0.015073	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	exocytosis	guanyl-nucleotide exchange factor activity				0.58	0.57	-0.67	-0.2	-0.28
216273_at	ZNF272	0.004349							1.31	1.39	-0.61	-1.38	-0.85
216278_at	---	0.004293	MRNA full length insert cDNA clone EUROIMAGE 73337						1.03	1.49	-0.66	-1.22	-0.82
216362_at	---	0.033714							1.82	0.59	-1.18	-1.16	-0.39
216401_x_at	---	0.043981							1.05	0.44	-0.06	-0.8	-0.66
216439_at	ACK1	0.000557	activated Cdc42-associated kinase 1	protein amino acid phosphorylation	non-membrane spanning protein tyrosine kinase activity	cytoplasm			0.49	0.64	-0.42	-0.37	-0.37
216461_at	---	0.048936							1.85	0.5	-1.2	-1.21	-0.27
216476_at	LOC115131	0.009294	similar to POSSIBLE GUSTATORY RECEPTOR CLONE PTE01	G-protein coupled receptor protein signaling pathway	olfactory receptor activity	integral to membrane			1.12	2.08	-1.51	-0.75	-1.38
216526_x_at	HLA-C	0.009196					Proteasome_Degradation	GENMAPP/KEGG	0.89	1.78	-0.82	-1.29	-0.85
216527_at	---	0.049865	Hypothetical gene supported by AK055657						0.89	1.1	-0.33	-0.16	-1.41
216730_at	---	0.046036							0.27	0.47	-0.12	-0.51	-0.1
216762_at	---	0.044735	MRNA; cDNA DKFZp686M03112 (from clone DKFZp686M03112)						1.29	0.74	-0.18	-0.46	-1.37
216764_at	---	0.001215							1.3	0.97	-0.84	-0.65	-0.92
216838_at	LOC92249	0.003714							0.84	0.84	-0.48	-0.41	-0.83
216850_at	SNRPN	0.000703	small nuclear ribonucleoprotein polypeptide N						1.36	1.11	-0.88	-1.03	-0.73
216878_x_at	HAB1	0.039639							0.66	0.5	0	-0.71	-0.44
216879_at	HR44	0.002037							1.19	1.67	-1.24	-1.08	-0.8
216906_at	ST14	0.033971	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	proteolysis and peptidolysis	chymotrypsin activity	integral to plasma membrane			0.49	2.36	-0.99	-1.44	-1.26
216943_at	GPR51	0.027606							1.18	0.6	-0.89	-0.8	-0.14
216947_at	DES	0.012039							0.9	0.87	-1.01	-0.32	-0.46
217045_x_at	NCR2	0.046877	natural cytotoxicity triggering receptor 2						0.19	1.07	-0.46	-0.51	-0.37
217054_at	MUC3A	0.025691	CDNA FLJ39484 fis, clone PROST2014925						1.15	0.37	-0.7	-0.37	-0.54
217066_s_at	DMPK	0.005161	dystrophia myotonica-protein kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				1.65	0.87	-0.88	-0.9	-1.01
217082_at	---	0.031694	Unknown protein mRNA, partial cds						1.58	0.71	-0.21	-0.99	-1.24
217098_s_at	ZNF305	0.019122	zinc finger protein 305	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.36	0.72	-0.16	-0.41	-0.53
217117_x_at	MUC3B	0.046826	mucin 3B						0.14	0.74	-0.35	-0.23	-0.33
217130_at	C9orf33	0.020535	chromosome 9 open reading frame 33						1.54	0.63	-0.76	-1.13	-0.48
217156_at	---	0.012191					Fatty acid biosynthesis (path 2)	GENMAPP/KEGG	1.73	1.26	-0.57	-0.87	-1.69
217178_at	RARG	0.010708					Nuclear_Receptors	GENMAPP/KEGG	1.34	1.35	-1	-0.36	-1.43
217217_at	MGC27165	0.006927	Immunoglobulin heavy constant epsilon						0.36	0.27	-0.31	-0.21	-0.12
217332_at	---	0.04112	LOC387937						0.53	0.83	-0.77	0.02	-0.61
217343_at	---	0.036493					Glycerolipid metabolism	GENMAPP/KEGG	0.97	1.19	-0.16	-1.42	-0.52
217357_at	---	0.01613							1.09	0.73	-0.19	-0.89	-0.78
217399_s_at	FOXO3A	0.019508	forkhead box O3A	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.21	0.48	-0.59	-0.82	-0.39
217436_x_at	---	0.023495							0.73	2.01	-1.02	-1.48	-0.67
217453_at	---	0.028558							1.37	1.01	-1.34	-0.08	-0.98
217477_at	PIP5K1B	0.010757							1.44	0.93	-1.27	-0.75	-0.48
217490_at	---	0.022032							1.7	0.96	-0.27	-1.17	-1.39
217521_at	HAL	0.040962					Histidine metabolism	GENMAPP/KEGG	0.97	1.01	-1.07	0.08	-0.96
217574_at	---	0.037517							1.46	0.79	-1.47	-0.42	-0.38
217593_at	FLJ12895	0.027814	hypothetical protein FLJ12895	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.9	0.84	-1.42	-1.27	-0.32
217607_x_at	EIF4G2	0.023865	eukaryotic translation initiation factor 4 gamma, 2	regulation of translational initiation	RNA binding	eukaryotic translation initiation factor 4F complex	Circadian_Exercise	GENMAPP/KEGG	0.54	1.32	-0.31	-0.91	-0.77
217611_at	LOC157697	0.020976	hypothetical protein LOC157697						1.66	0.6	-1.07	-0.91	-0.55
217655_at	FXYD5	0.006986	FXYD domain containing ion transport regulator 5	ion transport	actin binding	integral to membrane			0.66	1.11	-0.45	-0.55	-0.84
217808_s_at	MAPKAP1	0.001386	mitogen-activated protein kinase associated protein 1		Ras interactor activity				0.57	0.55	-0.49	-0.28	-0.36
217889_s_at	CYBRD1	0.009038	cytochrome b reductase 1	electron transport		integral to membrane			0.99	2.06	-1.45	-0.93	-1.15
217904_s_at	BACE1	0.011142	beta-site APP-cleaving enzyme 1	proteolysis and peptidolysis	pepsin A activity	endosome			1.23	0.73	-0.83	-0.89	-0.33
217931_at	TNRC5	0.031746	trinucleotide repeat containing 5						0.75	1.2	-1.2	-0.15	-0.62
217948_at	DKFZP564B147	0.008902	DKFZP564B147 protein						0.85	1.29	-0.89	-0.98	-0.37
218052_s_at	ATP13A	0.012671	ATPase type 13A	cation transport	magnesium ion binding	integral to membrane			0.71	0.44	-0.62	-0.26	-0.28
218066_at	SLC12A7	0.044868	solute carrier family 12 (potassium/chloride transporters), member 7	ion transport	transporter activity	integral to plasma membrane			0.92	0.39	-0.85	-0.23	-0.24
218077_s_at	ZDHHC3	0.015389	zinc finger, DHHC domain containing 3		metal ion binding	Golgi apparatus			0.36	0.39	-0.36	-0.06	-0.34
218094_s_at	C20orf35	0.036363	chromosome 20 open reading frame 35		protein binding	cytoplasm			1.07	0.26	-0.58	-0.49	-0.35
218132_s_at	LENG5	0.043473	leukocyte receptor cluster (LRC) member 5						1.2	0.58	-0.88	-0.92	-0.02
218174_s_at	C10orf57	0.032423	chromosome 10 open reading frame 57						0.5	1.38	-1.04	-0.32	-0.65
218206_x_at	SCAND1	0.036518	SCAN domain containing 1	regulation of cell cycle	transcription factor activity	nucleus			0.56	1.29	-1.16	-0.38	-0.37
218271_s_at	PSARL	0.022288	presenilin associated, rhomboid-like						0.46	1.05	-0.67	-0.67	-0.22
218272_at	FLJ20699	0.02365	hypothetical protein FLJ20699						0.42	0.72	-0.47	-0.09	-0.58
218279_s_at	HIST2H2AA	0.030479							0.9	0.95	-0.47	-0.16	-1.19
218282_at	C20orf31	0.034642	chromosome 20 open reading frame 31	carbohydrate metabolism	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	membrane			0.68	0.68	-0.79	0.01	-0.57
218287_s_at	EIF2C1	0.034267	eukaryotic translation initiation factor 2C, 1	protein biosynthesis	translation initiation factor activity	eukaryotic translation initiation factor 2 complex			0.45	1.19	-0.59	-0.22	-0.91
218300_at	MGC4606	0.011122	hypothetical protein MGC4606						0.39	0.61	-0.44	-0.43	-0.14
218312_s_at	FLJ12895	0.004563	hypothetical protein FLJ12895	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.96	0.9	-0.78	-0.81	-0.33
218331_s_at	C10orf18	0.002173	chromosome 10 open reading frame 18						0.74	1.01	-0.77	-0.48	-0.56
218336_at	PFDN2	0.049052	prefoldin 2	protein folding	unfolded protein binding	prefoldin complex			0.29	0.54	-0.38	-0.48	0.02
218379_at	RBM7	0.017874	RNA binding motif protein 7	meiosis	RNA binding				0.6	0.3	-0.21	-0.48	-0.23
218399_s_at	CDCA4	0.015957	cell division cycle associated 4						0.99	0.98	-1.14	-0.26	-0.59
218421_at	CERK	0.013206	ceramide kinase	ceramide metabolism	magnesium ion binding	integral to membrane of membrane fraction			0.85	1.22	-0.82	-0.27	-1.05
218439_s_at	COMMD10	0.023404	COMM domain containing 10						1.4	0.53	-0.39	-0.96	-0.74
218457_s_at	DNMT3A	0.000417	DNA (cytosine-5-)-methyltransferase 3 alpha	DNA methylation	DNA binding	euchromatin	Methionine metabolism	GENMAPP/KEGG	1.44	1.51	-0.96	-1.29	-0.95
218476_at	POMT1	0.026556	protein-O-mannosyltransferase 1	O-linked glycosylation	dolichyl-phosphate-mannose-protein mannosyltransferase activity	endoplasmic reticulum			0.62	1.47	-1.13	-0.78	-0.33
218533_s_at	URKL1	0.008942	uridine-cytidine kinase 1-like 1	biosynthesis	uridine kinase activity				0.43	0.77	-0.53	-0.24	-0.46
218537_at	HCFC1R1	0.016101	host cell factor C1 regulator 1 (XPO1 dependant)						0.81	1.96	-1.27	-1.23	-0.67
218596_at	TBC1D13	0.017888	TBC1 domain family, member 13						1.85	0.69	-1.14	-0.67	-1.1
218618_s_at	FAD104	0.011271	FAD104						0.9	1.54	-0.54	-0.77	-1.29
218623_at	HMP19	0.047099							0.32	2.23	-0.89	-1.13	-1.29
218718_at	PDGFC	0.007302	platelet derived growth factor C	regulation of cell cycle	growth factor activity	extracellular			2.1	1.12	-1.04	-1.6	-1.05
218753_at	FLJ10307	0.025429	hypothetical protein FLJ10307						0.33	0.81	-0.41	-0.58	-0.18
218789_s_at	FLJ20010	0.003929	hypothetical protein FLJ20010						0.85	0.53	-0.37	-0.59	-0.45
218795_at	ACP6	0.047443	acid phosphatase 6, lysophosphatidic		acid phosphatase activity				1.05	0.37	-0.46	-0.86	-0.14
218856_at	TNFRSF21	0.010983	tumor necrosis factor receptor superfamily, member 21	apoptosis	receptor activity	integral to membrane			2.28	1	-1.18	-1.1	-1.62
218865_at	FLJ22390	0.014642	hypothetical protein FLJ22390						1.15	1.73	-1.36	-0.35	-1.34
218876_at	CGI-38	0.04236	brain specific protein						0.48	0.41	-0.6	-0.03	-0.25
218988_at	SLC35E3	0.01363	solute carrier family 35, member E3						1.14	1.41	-0.32	-1.38	-0.93
219015_s_at	MDS031	0.015954	glycosyltransferase 28 domain containing 1	carbohydrate metabolism	transferase activity, transferring hexosyl groups				0.96	0.54	-0.31	-0.41	-0.82
219032_x_at	OPN3	0.047926	opsin 3 (encephalopsin, panopsin)	G-protein coupled receptor protein signaling pathway	G-protein coupled photoreceptor activity	integral to membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.85	0.73	-0.73	0.09	-0.93
219057_at	RABEP2	0.010649	rabaptin, RAB GTPase binding effector protein 2	endocytosis	GTPase activator activity				0.91	0.96	-0.67	-0.25	-0.99
219059_s_at	XLKD1	0.00603	extracellular link domain containing 1	cell motility	receptor activity	membrane fraction			0.98	1.22	-1.01	-0.38	-0.9
219066_at	MDS018	0.029024	hypothetical protein MDS018						0.47	1.07	-0.17	-0.62	-0.8
219122_s_at	ICF45	0.040256	interphase cyctoplasmic foci protein 45						0.74	0.17	-0.33	-0.37	-0.23
219154_at	ARHF	0.013263	Ras homolog gene family, member F (in filopodia)						2.09	0.81	-0.95	-1.24	-1.26
219194_at	SEMA4G	0.038348	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	development	receptor activity	integral to membrane			1.11	0.79	0.03	-0.96	-0.98
219199_at	AF5Q31	0.043194	ALL1 fused gene from 5q31	transcription from Pol II promoter	transcription factor activity				0.27	0.68	-0.09	-0.56	-0.3
219223_at	C9orf7	0.025601	chromosome 9 open reading frame 7						1.18	0.95	-0.8	-1.23	-0.11
219234_x_at	SCRN3	0.028682	secernin 3						0.59	0.6	-0.05	-0.41	-0.72
219271_at	GALNT14	0.046101	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)		polypeptide N-acetylgalactosaminyltransferase activity	Golgi apparatus			0.46	2.78	-2.02	-1.43	-1.02
219314_s_at	ZNF219	0.042811	zinc finger protein 219	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.06	0.68	-1.19	-0.24	-0.28
219315_s_at	C16orf30	0.006378	chromosome 16 open reading frame 30						1.04	0.85	-0.62	-0.97	-0.37
219368_at	NAP1L2	0.030844	nucleosome assembly protein 1-like 2	nucleosome assembly	DNA binding	nucleus			1.67	0.4	-0.8	-0.88	-0.72
219421_at	OSRF	0.033355	osmosis responsive factor						0.51	0.73	-0.11	-0.8	-0.32
219447_s_at	SLC35C2	0.009958	solute carrier family 35, member C2	transport		integral to membrane			0.97	1.27	-1.07	-0.31	-0.94
219495_s_at	ZNF180	0.008456	zinc finger protein 180 (HHZ168)	regulation of transcription, DNA-dependent	DNA binding	nucleus			1.03	1.37	-0.68	-1.29	-0.53
219505_at	CECR1	0.049282	cat eye syndrome chromosome region, candidate 1	development	growth factor activity				0.26	2.75	-1.4	-1.48	-1.55
219569_s_at	TMEM22	0.011057	transmembrane protein 22			membrane			1.29	0.96	-0.81	-0.34	-1.18
219606_at	CGI-72	0.008341	CGI-72 protein		nucleic acid binding				0.82	1.53	-0.8	-1.12	-0.62
219607_s_at	MS4A4A	0.021703	membrane-spanning 4-domains, subfamily A, member 4	signal transduction	receptor activity	integral to membrane			2.17	1.26	-0.35	-1.78	-1.59
219618_at	IRAK4	0.026241	interleukin-1 receptor-associated kinase 4						0.15	0.45	-0.2	-0.15	-0.26
219664_s_at	DECR2	0.032219	2,4-dienoyl CoA reductase 2, peroxisomal	metabolism	oxidoreductase activity				0.68	1.24	-1.2	-0.54	-0.22
219666_at	MS4A6A	0.001439	membrane-spanning 4-domains, subfamily A, member 6A	signal transduction	receptor activity	integral to membrane			1.97	2.05	-1.89	-1.07	-1.55
219729_at	PRRX2	0.032197	paired related homeobox 2	regulation of transcription, DNA-dependent	transcription factor activity	nuclear chromosome			0.53	2.44	-1.56	-1.24	-1.08
219748_at	TREML2	0.004793	triggering receptor expressed on myeloid cells-like 2						0.91	1.49	-0.93	-0.62	-1.05
219768_at	B7-H4	0.001126	immune costimulatory protein B7-H4						0.57	0.73	-0.34	-0.5	-0.49
219815_at	GAL3ST4	0.022877	galactose-3-O-sulfotransferase 4						1.22	0.62	-0.97	-0.23	-0.71
219872_at	DKFZp434L142	0.000751	hypothetical protein DKFZp434L142						1.63	1.66	-0.97	-1.14	-1.5
219924_s_at	ZNF258	0.003592	zinc finger protein 258	development	DNA binding	nucleus			0.56	0.74	-0.5	-0.27	-0.55
219950_s_at	TIAM2	0.031813	T-cell lymphoma invasion and metastasis 2	intracellular signaling cascade	receptor signaling protein activity				0.64	0.66	-0.6	0	-0.7
219989_s_at	EB-1	0.023417	E2a-Pbx1-associated protein						2.19	0.6	-1.27	-1.13	-1.06
220097_s_at	FLJ20255	0.011532	hypothetical protein FLJ20255	amino acid transport	amino acid-polyamine transporter activity	membrane			0.97	0.54	-0.77	-0.42	-0.36
220129_at	FLJ20449	0.003041	hypothetical protein FLJ20449						1.31	2.24	-1.28	-1.37	-1.51
220131_at	FXYD7	0.001206	FXYD domain containing ion transport regulator 7	ion transport	ion channel activity	integral to membrane			0.64	0.85	-0.61	-0.47	-0.45
220134_x_at	FLJ10647	0.038883	hypothetical protein FLJ10647						1.94	0.86	-1.73	-1	-0.26
220190_s_at	ALF	0.004198	TFIIA-alpha/beta-like factor	regulation of transcription, DNA-dependent	DNA binding	nucleus			1.89	1.09	-1.01	-1.33	-1.01
220210_at	CHRNA10	0.041729	cholinergic receptor, nicotinic, alpha polypeptide 10	ion transport	nicotinic acetylcholine-activated cation-selective channel activity	integral to membrane			0.35	0.74	-0.21	-0.18	-0.71
220240_s_at	C13orf11	0.034055	chromosome 13 open reading frame 11						0.35	1.27	-0.58	-0.38	-0.78
220250_at	ZNF286	0.023384	zinc finger protein 286	regulation of transcription, DNA-dependent	DNA binding	nucleus			1.3	0.63	-0.23	-0.92	-0.87
220252_x_at	CXorf21	0.015272	chromosome X open reading frame 21						1.33	0.64	-0.65	-0.44	-1.01
220259_at	FLJ21019	0.004863	hypothetical protein FLJ21019		motor activity	cytoskeleton			0.86	0.86	-0.77	-0.7	-0.29
220268_at	PTD015	0.028542	PTD015 protein						1.99	0.51	-1.21	-0.85	-0.95
220302_at	MAK	0.002468	male germ cell-associated kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				1.79	1.33	-0.81	-1.23	-1.39
220319_s_at	MYLIP	0.039272	myosin regulatory light chain interacting protein	protein ubiquitination	ubiquitin-protein ligase activity	ubiquitin ligase complex			1.44	0.63	-1.07	-0.11	-1
220348_at	KBTBD9	0.001104	kelch repeat and BTB (POZ) domain containing 9						1.59	1.35	-1.22	-0.78	-1.19
220360_at	THAP9	0.039347	THAP domain containing 9		nucleic acid binding				0.82	1.04	0.05	-0.95	-0.95
220394_at	FGF20	0.036446	fibroblast growth factor 20	signal transduction	growth factor activity	extracellular			0.44	1.56	-0.38	-0.85	-0.99
220409_at	CAMSAP1	0.005425	calmodulin regulated spectrin-associated protein 1						0.41	0.58	-0.36	-0.45	-0.19
220417_s_at	THAP4	0.028451	THAP domain containing 4		DNA binding				0.42	0.29	-0.12	-0.45	-0.14
220424_at	NPHS2	0.006315	nephrosis 2, idiopathic, steroid-resistant (podocin)	excretion		integral to plasma membrane			1.28	1.47	-1.18	-1.27	-0.45
220482_s_at	DELGEF	0.001618	deafness locus associated putative guanine nucleotide exchange factor			nucleus			1.61	1.7	-1.44	-0.81	-1.38
220488_s_at	BCAS3	0.029999	breast carcinoma amplified sequence 3	cell growth and/or maintenance		nucleus			0.46	0.7	-0.08	-0.37	-0.71
220593_s_at	FLJ20753	0.019567	hypothetical protein FLJ20753						0.99	1.36	-1.11	-0.17	-1.13
220610_s_at	LRRFIP2	0.041734	leucine rich repeat (in FLII) interacting protein 2		LRR domain binding				0.2	0.39	-0.37	-0.03	-0.2
220664_at	SPRR2C	0.000484	small proline-rich protein 2C		metal ion binding	cytoplasm			1.03	1.33	-0.91	-0.79	-0.83
220713_at	MGC33692	0.030752	similar to RIKEN cDNA 1700027J05 gene						0.51	1.64	-1	-0.42	-0.99
220735_s_at	SENP7	0.038153	SUMO1/sentrin specific protease 7	proteolysis and peptidolysis	cysteine-type peptidase activity	nucleus			0.96	1.54	-1.55	-0.09	-0.86
220747_at	HSPC072	2.00E-06	HSPC072 protein						1.89	1.82	-1.43	-1.37	-1.4
220777_at	KIF13A	0.006507	kinesin family member 13A		motor activity	microtubule associated complex			0.77	0.78	-0.66	-0.23	-0.69
220781_at	1-Dec	0.036702	deleted in esophageal cancer 1	negative regulation of cell proliferation					1.27	1.24	-0.84	-1.58	-0.03
220802_at	KCNH4	0.000988	potassium voltage-gated channel, subfamily H (eag-related), member 4	two-component signal transduction system (phosphorelay)	two-component sensor molecule activity	voltage-gated potassium channel complex			1.5	1.64	-0.97	-1.46	-1.01
220826_at	C21orf77	0.013669	chromosome 21 open reading frame 77						0.38	0.64	-0.15	-0.4	-0.49
220836_at	ZNF407	0.002687	zinc finger protein 407	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus			1.73	1.45	-1.33	-0.72	-1.41
220881_at	PRO1787	0.002006							0.99	0.64	-0.62	-0.57	-0.52
220910_at	FRAS1	0.030972	Fraser syndrome 1						0.65	1.1	-0.98	-0.72	-0.08
220913_at	---	0.015163							1.13	0.94	-0.99	-0.94	-0.18
220967_s_at	FLJ14129	0.001281	hypothetical protein FLJ14129		nucleic acid binding	nucleus			1.38	1.37	-0.71	-1.24	-0.99
220968_s_at	PP1057	0.028716	hypothetical protein PP1057						0.83	1.2	-0.42	-1.3	-0.31
220996_s_at	C1orf14	0.045383	chromosome 1 open reading frame 14						0.39	1.42	-0.24	-0.89	-0.84
221019_s_at	COLEC12	0.012069	collectin sub-family member 12	phosphate transport	scavenger receptor activity	cytoplasm			0.9	0.64	-0.24	-0.51	-0.82
221032_s_at	TMPRSS5	0.04932	transmembrane protease, serine 5 (spinesin)						2.09	0.31	-0.92	-1.28	-0.82
221057_at	SPATA1	0.035414	spermatogenesis associated 1						0.94	1.65	-0.06	-1.29	-1.33
